,X,Y,Z
0,335330.9893,4263051.682,-557.9699097
1,335331.04694347916,4263051.678,-555.728081384985
2,335331.10394479835,4263051.674,-553.48625306997
3,335331.16168239445,4263051.669,-551.2444247549549
4,335331.21891977976,4263051.665,-549.0025964399399
5,335331.2764050733,4263051.660997886,-546.760768124925
6,335331.3336464385,4263051.656,-544.51893980991
7,335331.3909076269,4263051.652,-542.2771114948949
8,335331.4483283485,4263051.647,-540.0352831798799
9,335331.50571302907,4263051.643,-537.7934548648649
10,335331.56286369124,4263051.6389999995,-535.5516265498499
11,335331.62033579295,4263051.634683129,-533.3097982348348
12,335331.6777259795,4263051.63,-531.0679699198198
13,335331.7352917053,4263051.626,-528.8261416048048
14,335331.7924834774,4263051.621563683,-526.5843132897899
15,335331.84959449235,4263051.617,-524.3424849747748
16,335331.90716850694,4263051.613,-522.1006566597598
17,335331.9645213069,4263051.608,-519.8588283447448
18,335332.0220875909,4263051.603999999,-517.6170000297298
19,335332.07915445196,4263051.6,-515.3751717147147
20,335332.1367059881,4263051.595,-513.1333433996997
21,335332.19408371684,4263051.591,-510.8915150846847
22,335332.2514672998,4263051.586532701,-508.6496867696697
23,335332.3086294733,4263051.5819999995,-506.4078584546547
24,335332.3660049716,4263051.578,-504.16603013963964
25,335332.4233280629,4263051.573,-501.9242018246247
26,335332.48106120824,4263051.569,-499.68237350960965
27,335332.53800591436,4263051.565,-497.4405451945946
28,335332.59566001606,4263051.560224993,-495.1987168795796
29,335332.6529319572,4263051.556,-492.95688856456457
30,335332.7104350458,4263051.552,-490.71506024954954
31,335332.76764930045,4263051.547150234,-488.47323193453457
32,335332.824908469,4263051.5430000005,-486.23140361951954
33,335332.87748225685,4263051.538972581,-483.9895753045045
34,335332.92305443785,4263051.534,-481.74774698948954
35,335332.9685176983,4263051.53,-479.5059186744745
36,335333.01369581843,4263051.525829028,-477.2640903594595
37,335333.05935573013,4263051.521000001,-475.02226204444446
38,335333.10180696595,4263051.509411391,-472.78043372942943
39,335333.14447213674,4263051.497699263,-470.5386054144144
40,335333.187,4263051.4860000005,-468.29677709939943
41,335333.22963772103,4263051.475,-466.0549487843844
42,335333.2713804535,4263051.461633145,-463.8131204693694
43,335333.3129240863,4263051.448,-461.5712921543544
44,335333.35417614266,4263051.435,-459.3294638393394
45,335333.3956234335,4263051.421550627,-457.08763552432436
46,335333.43646533764,4263051.413,-454.8458072093093
47,335333.47611081786,4263051.412,-452.6039788942943
48,335333.515719458,4263051.41,-450.3621505792793
49,335333.55521710805,4263051.409,-448.1203222642643
50,335333.5957801635,4263051.408,-445.8784939492493
51,335333.644476728,4263051.413724594,-443.63666563423425
52,335333.6929786135,4263051.419,-441.3948373192193
53,335333.74163039593,4263051.425,-439.15300900420425
54,335333.7899863497,4263051.43,-436.9111806891892
55,335333.8385955517,4263051.436000001,-434.6693523741742
56,335333.88715317467,4263051.441000001,-432.42752405915917
57,335333.9359323931,4263051.447,-430.18569574414414
58,335333.9845551597,4263051.452,-427.9438674291291
59,335334.04644049995,4263051.454,-425.70203911411414
60,335334.1204728362,4263051.451,-423.4602107990991
61,335334.19482503674,4263051.448,-421.21838248408415
62,335334.26924725727,4263051.445255662,-418.9765541690691
63,335334.3492119978,4263051.439557059,-416.7347258540541
64,335334.4526960451,4263051.422853523,-414.49289753903906
65,335334.556324644,4263051.406106213,-412.25106922402404
66,335334.65980395576,4263051.389411182,-410.009240909009
67,335334.7632138552,4263051.37276346,-407.767412593994
68,335334.88974398864,4263051.349611436,-405.525584278979
69,335335.0208288801,4263051.324225827,-403.283755963964
70,335335.15160802694,4263051.299215064,-401.041927648949
71,335335.2828391922,4263051.274,-398.800099333934
72,335335.42460912454,4263051.249920737,-396.55827101891896
73,335335.5768060623,4263051.227364117,-394.31644270390393
74,335335.72923078266,4263051.203876139,-392.0746143888889
75,335335.8818377157,4263051.180984913,-389.8327860738739
76,335336.0347,4263051.158,-387.59095775885885
77,335336.1906685952,4263051.136,-385.3491294438439
78,335336.3468071233,4263051.115,-383.10730112882885
79,335336.5033176868,4263051.093,-380.8654728138139
80,335336.65917990886,4263051.071008037,-378.62364449879885
81,335336.80842441245,4263051.053073161,-376.3818161837838
82,335336.9574716439,4263051.035302458,-374.1399878687688
83,335337.10670219176,4263051.018,-371.89815955375377
84,335337.25565701374,4263051.0,-369.65633123873874
85,335337.4047009713,4263050.982,-367.4145029237237
86,335337.5291918921,4263050.961536036,-365.17267460870875
87,335337.652320188,4263050.941000001,-362.9308462936937
88,335337.7752018382,4263050.921,-360.6890179786787
89,335337.8980255802,4263050.9,-358.4471896636637
90,335338.0208321907,4263050.879861587,-356.2053613486487
91,335338.1436804695,4263050.859,-353.96353303363367
92,335338.26651710825,4263050.839,-351.72170471861864
93,335338.38928204676,4263050.818109639,-349.4798764036036
94,335338.5122296697,4263050.798,-347.2380480885886
95,335338.6351113169,4263050.777654092,-344.9962197735736
96,335338.75777154486,4263050.757,-342.7543914585586
97,335338.8805974498,4263050.736632921,-340.51256314354356
98,335339.0034022787,4263050.716,-338.2707348285286
99,335339.12629709725,4263050.696,-336.02890651351356
100,335339.24896084913,4263050.675,-333.78707819849853
101,335339.37185410893,4263050.655,-331.5452498834835
102,335339.4949945078,4263050.634,-329.3034215684685
103,335339.56596889265,4263050.576,-327.06159325345345
104,335339.6355689389,4263050.517068979,-324.8197649384385
105,335339.7048292614,4263050.457180492,-322.57793662342345
106,335339.774114781,4263050.397570438,-320.3361083084084
107,335339.84355726826,4263050.338242732,-318.09427999339346
108,335339.9128237918,4263050.279034944,-315.85245167837843
109,335339.9821420299,4263050.219628985,-313.6106233633634
110,335340.05172962,4263050.16,-311.3687950483484
111,335340.12082211924,4263050.100703841,-309.12696673333335
112,335340.190451209,4263050.040965861,-306.8851384183183
113,335340.25958835735,4263049.981423286,-304.6433101033033
114,335340.3288158204,4263049.922189454,-302.4014817882883
115,335340.3984782656,4263049.862602478,-300.1596534732733
116,335340.4676805524,4263049.803619447,-297.91782515825827
117,335340.5372346075,4263049.743865392,-295.6759968432433
118,335340.6065056504,4263049.684638821,-293.43416852822827
119,335340.67567398516,4263049.624750677,-291.19234021321324
120,335340.7158871857,4263049.542825629,-288.9505118981982
121,335340.7451,4263049.452907146,-286.7086835831832
122,335340.77383270557,4263049.362134589,-284.4668552681682
123,335340.8030037328,4263049.271392535,-282.2250269531532
124,335340.8317359474,4263049.180528105,-279.98319863813816
125,335340.8606320381,4263049.08983981,-277.74137032312314
126,335340.8894326801,4263048.9994183,-275.49954200810816
127,335340.9186436479,4263048.90928176,-273.25771369309314
128,335340.9473,4263048.818160782,-271.0158853780781
129,335340.9763081249,4263048.728,-268.7740570630631
130,335341.005411293,4263048.636954828,-266.53222874804806
131,335341.03412093763,4263048.546316249,-264.2904004330331
132,335341.0629789283,4263048.456084287,-262.04857211801806
133,335341.092144206,4263048.365623176,-259.80674380300303
134,335341.12088884943,4263048.274844603,-257.564915487988
135,335341.14998940675,4263048.184642373,-255.32308717297303
136,335341.1788770858,4263048.093291657,-253.081258857958
137,335341.20762177004,4263048.00351292,-250.83943054294298
138,335341.22806307854,4263047.919747686,-248.59760222792795
139,335341.2446,4263047.838972219,-246.35577391291292
140,335341.2607,4263047.75824072,-244.11394559789795
141,335341.2771450063,4263047.677387484,-241.87211728288293
142,335341.2935,4263047.59754773,-239.6302889678679
143,335341.30985871283,4263047.516965149,-237.38846065285287
144,335341.3262,4263047.43621153,-235.1466323378379
145,335341.34246575925,4263047.355668482,-232.90480402282287
146,335341.3589,4263047.275,-230.66297570780785
147,335341.3750155443,4263047.194937823,-228.42114739279282
148,335341.391554151,4263047.114183396,-226.1793190777778
149,335341.4077,4263047.033335939,-223.93749076276282
150,335341.4241330379,4263046.952667848,-221.6956624477478
151,335341.4404,4263046.872727938,-219.45383413273277
152,335341.45671076543,4263046.792156938,-217.21200581771774
153,335341.4731,4263046.71092576,-214.9701775027027
154,335341.4893,4263046.631,-212.72834918768774
155,335341.5059,4263046.550888152,-210.4865208726727
156,335341.522,4263046.47010664,-208.2446925576577
157,335341.538561004,4263046.389155984,-206.00286424264266
158,335341.55454666686,4263046.308613333,-203.7610359276277
159,335341.5710851145,4263046.228429771,-201.51920761261266
160,335341.5874,4263046.147914089,-199.27737929759763
161,335341.603664297,4263046.067342812,-197.0355509825826
162,335341.6201,4263045.986584143,-194.79372266756758
163,335341.6362412407,4263045.905917519,-192.5518943525526
164,335341.65278070077,4263045.825077197,-190.31006603753758
165,335341.66883617756,4263045.745319112,-188.06823772252255
166,335341.6853044566,4263045.664488859,-185.82640940750753
167,335341.7017,4263045.583570366,-183.58458109249256
168,335341.71803785115,4263045.503048595,-181.34275277747753
169,335341.7340775194,4263045.423289922,-179.1009244624625
170,335341.75063404505,4263045.34246382,-176.85909614744747
171,335341.7669247649,4263045.262,-174.61726783243245
172,335341.7832,4263045.181018397,-172.37543951741748
173,335341.7993,4263045.101130992,-170.13361120240245
174,335341.8159,4263045.020369455,-167.89178288738742
175,335341.83231216774,4263044.939751329,-165.6499545723724
176,335341.850877539,4263044.864444922,-163.40812625735737
177,335341.87958365865,4263044.808632682,-161.1662979423424
178,335341.90772374684,4263044.752952507,-158.92446962732737
179,335341.9365,4263044.6977651315,-156.68264131231234
180,335341.96478559054,4263044.642072047,-154.44081299729731
181,335341.9935710688,4263044.587,-152.19898468228234
182,335342.0218736099,4263044.53125278,-149.95715636726732
183,335342.05036076554,4263044.475878469,-147.7153280522523
184,335342.0788135005,4263044.420572999,-145.47349973723726
185,335342.1074,4263044.365,-143.23167142222223
186,335342.135782713,4263044.309834573,-140.98984310720726
187,335342.16412148875,4263044.253976123,-138.74801479219224
188,335342.19284250203,4263044.199,-136.5061864771772
189,335342.2210785878,4263044.143242824,-134.26435816216218
190,335342.24981144676,4263044.087754213,-132.0225298471472
191,335342.2783,4263044.032,-129.78070153213218
192,335342.3066733831,4263043.976853234,-127.53887321711716
193,335342.33509082434,4263043.921545878,-125.29704490210213
194,335342.3638430098,4263043.865913981,-123.0552165870871
195,335342.39206089603,4263043.811000001,-120.81338827207213
196,335342.4207187582,4263043.755181242,-118.5715599570571
197,335342.4488828476,4263043.699634305,-116.32973164204208
198,335342.47759300144,4263043.64445222,-114.08790332702705
199,335342.50597988773,4263043.58880028,-111.84607501201208
200,335342.53446872195,4263043.533462556,-109.60424669699705
201,335342.56307795667,4263043.4778440865,-107.36241838198202
202,335342.585,4263043.438999999,-105.120590066967
203,335342.5957,4263043.428,-102.87876175195197
204,335342.606756163,4263043.416999999,-100.636933436937
205,335342.6177,4263043.406,-98.39510512192197
206,335342.6284867323,4263043.394826535,-96.15327680690694
207,335342.63930893096,4263043.383,-93.91144849189192
208,335342.6504,4263043.3719999995,-91.66962017687695
209,335342.6611,4263043.3610000005,-89.42779186186192
210,335342.67231077637,4263043.35,-87.18596354684689
211,335342.6831,4263043.338,-84.94413523183186
212,335342.6938,4263043.327,-82.70230691681684
213,335342.7051,4263043.316000001,-80.46047860180187
214,335342.7158,4263043.304769771,-78.21865028678684
215,335342.726641469,4263043.2930000005,-75.97682197177181
216,335342.7377397705,4263043.282,-73.73499365675679
217,335342.7485,4263043.271000001,-71.49316534174176
218,335342.7593,4263043.26,-69.25133702672679
219,335342.7702445635,4263043.248510873,-67.00950871171176
220,335342.7813,4263043.237,-64.76768039669673
221,335342.7920965926,4263043.226,-62.525852081681705
222,335342.8032,4263043.215,-60.284023766666735
223,335342.814,4263043.204,-58.04219545165171
224,335342.8247,4263043.192,-55.80036713663668
225,335342.8356999312,4263043.181,-53.55853882162165
226,335342.8467,4263043.17,-51.316710506606626
227,335342.8574,4263043.159,-49.074882191591655
228,335342.8657,4263043.1522706915,-46.83305387657663
229,335342.86129732797,4263043.174,-44.5912255615616
230,335342.8564,4263043.194706033,-42.34939724654657
231,335342.8521,4263043.215707939,-40.107568931531546
232,335342.8472,4263043.237,-37.86574061651652
233,335342.8428,4263043.258,-35.62391230150149
234,335342.8379,4263043.279,-33.38208398648658
235,335342.8335,4263043.300110665,-31.14025567147155
236,335342.82862354914,4263043.321,-28.898427356456523
237,335342.8242,4263043.342,-26.656599041441496
238,335342.81946934696,4263043.363661306,-24.414770726426468
239,335342.8149,4263043.38451224,-22.17294241141144
240,335342.810272351,4263043.405569123,-19.931114096396414
241,335342.8057,4263043.427,-17.689285781381386
242,335342.80126876937,4263043.448,-15.447457466366359
243,335342.7964,4263043.469,-13.205629151351445
244,335342.792,4263043.49,-10.963800836336418
245,335342.7871,4263043.511,-8.72197252132139
246,335342.7827,4263043.532,-6.480144206306363
247,335342.7778,4263043.553,-4.238315891291336
248,335342.7734,4263043.574,-1.9964875762763086
249,335342.7686,4263043.595,0.24534073873871876
250,335342.7642,4263043.616865528,2.487169053753746
251,335342.7593,4263043.637317048,4.728997368768773
252,335342.7549,4263043.658816658,6.970825683783687
253,335342.75029149075,4263043.68,9.212653998798714
254,335342.7456,4263043.701,11.454482313813742
255,335342.7412,4263043.722,13.696310628828769
256,335342.7363,4263043.743,15.938138943843796
257,335342.7319,4263043.7639999995,18.179967258858824
258,335342.7271,4263043.785,20.42179557387385
259,335342.7227,4263043.806521168,22.66362388888888
260,335342.7178,4263043.827368753,24.905452203903906
261,335342.7134,4263043.848930156,27.14728051891882
262,335342.7085,4263043.87,29.389108833933847
263,335342.7041,4263043.890922472,31.630937148948874
264,335342.6992,4263043.912,33.8727654639639
265,335342.6948,4263043.933,36.11459377897893
266,335342.7165387526,4263043.959,38.356422093993956
267,335342.7407439027,4263043.9860000005,40.59825040900898
268,335342.7651915711,4263044.012183142,42.84007872402401
269,335342.7891370449,4263044.039,45.08190703903904
270,335342.8264659396,4263044.067,47.32373535405395
271,335342.87425986875,4263044.097,49.56556366906898
272,335342.9223433789,4263044.12694338,51.807391984084006
273,335342.9703343324,4263044.156268665,54.049220299099034
274,335343.01952230063,4263044.186348201,56.29104861411406
275,335343.0739118229,4263044.2142118225,58.53287692912909
276,335343.1280431479,4263044.242,60.774705244144116
277,335343.18251911964,4263044.27,63.01653355915914
278,335343.2366073996,4263044.298,65.25836187417417
279,335343.2813,4263044.318,67.50019018918908
280,335343.3257237428,4263044.338,69.74201850420411
281,335343.3704831224,4263044.358,71.98384681921914
282,335343.41481814766,4263044.3780000005,74.22567513423417
283,335343.45518632815,4263044.387,76.4675034492492
284,335343.49365205556,4263044.391,78.70933176426422
285,335343.5315809862,4263044.395,80.95116007927925
286,335343.57026728685,4263044.398,83.19298839429428
287,335343.6108648274,4263044.396483526,85.4348167093093
288,335343.6566380457,4263044.381,87.67664502432422
289,335343.7022468583,4263044.365706284,89.91847333933924
290,335343.7480801066,4263044.35,92.16030165435427
291,335343.79386829725,4263044.335,94.4021299693693
292,335343.84784230875,4263044.309184065,96.64395828438433
293,335343.90273825335,4263044.282068607,98.88578659939935
294,335343.9575470098,4263044.256,101.12761491441438
295,335344.0126960652,4263044.228999999,103.36944322942941
296,335344.0726887171,4263044.206722344,105.61127154444443
297,335344.1350155458,4263044.1857605055,107.85309985945946
298,335344.197320936,4263044.164,110.09492817447438
299,335344.26011554967,4263044.143122967,112.3367564894894
300,335344.32418754854,4263044.1280000005,114.57858480450443
301,335344.3921802201,4263044.1219999995,116.82041311951946
302,335344.46018082125,4263044.117,119.06224143453449
303,335344.5283305077,4263044.1110000005,121.30406974954951
304,335344.5965015125,4263044.106000001,123.54589806456454
305,335344.6597817887,4263044.117090876,125.78772637957957
306,335344.72263388435,4263044.128955923,128.0295546945946
307,335344.7856,4263044.14,130.2713830096095
308,335344.8486664254,4263044.151000001,132.51321132462454
309,335344.9143846827,4263044.17,134.75503963963956
310,335344.98194989143,4263044.193049892,136.9968679546546
311,335345.0497561591,4263044.217,139.23869626966962
312,335345.11695756443,4263044.24,141.48052458468464
313,335345.1944010204,4263044.263050511,143.72235289969967
314,335345.29085021716,4263044.287,145.9641812147147
315,335345.3877873062,4263044.310834923,148.20600952972973
316,335345.4841864984,4263044.334,150.44783784474464
317,335345.58431401785,4263044.357,152.68966615975967
318,335345.71691486664,4263044.3719999995,154.9314944747747
319,335345.8490914361,4263044.387479805,157.17332278978972
320,335345.98161950544,4263044.403,159.41515110480475
321,335346.11377682455,4263044.4180000005,161.65697941981978
322,335346.2715500997,4263044.421,163.8988077348348
323,335346.436520948,4263044.42,166.14063604984983
324,335346.6018993931,4263044.419,168.38246436486486
325,335346.7667998444,4263044.419,170.62429267987977
326,335346.943238221,4263044.409558831,172.8661209948948
327,335347.1361538334,4263044.388748872,175.10794930990983
328,335347.32859340677,4263044.368,177.34977762492485
329,335347.5214444793,4263044.347,179.59160593993988
330,335347.71654286457,4263044.325171424,181.8334342549549
331,335347.9327427734,4263044.296,184.07526256996994
332,335348.1493345389,4263044.266617805,186.31709088498496
333,335348.3654712626,4263044.237556885,188.5589192
334,335348.5815926375,4263044.208000001,190.8007475150149
335,335348.8228855143,4263044.179,193.04257583002993
336,335349.06724676915,4263044.15,195.28440414504496
337,335349.3116561615,4263044.120216369,197.52623246006
338,335349.556035204,4263044.091033632,199.768060775075
339,335349.8156103489,4263044.064879602,202.00988909009004
340,335350.0866151809,4263044.039443041,204.25171740510507
341,335350.357493297,4263044.014524873,206.4935457201201
342,335350.6282023437,4263043.99,208.73537403513512
343,335350.9017867425,4263043.967,210.97720235015004
344,335351.18432096136,4263043.953,213.21903066516506
345,335351.46640210267,4263043.938999999,215.4608589801801
346,335351.7484422645,4263043.925,217.70268729519512
347,335352.0294721583,4263043.912,219.94451561021015
348,335352.3066552336,4263043.904,222.18634392522517
349,335352.5841507027,4263043.896000001,224.4281722402402
350,335352.8616470955,4263043.887,226.67000055525523
351,335353.1386936439,4263043.879,228.91182887027026
352,335353.41166476056,4263043.869,231.15365718528528
353,335353.6836986361,4263043.859237519,233.3954855003002
354,335353.9557425374,4263043.849060587,235.63731381531522
355,335354.2282020882,4263043.839881002,237.87914213033025
356,335354.49959772726,4263043.824,240.12097044534528
357,335354.77112651593,4263043.805,242.3627987603603
358,335355.04236757173,4263043.786,244.60462707537533
359,335355.3139180731,4263043.767,246.84645539039036
360,335355.5854360575,4263043.748,249.0882837054054
361,335355.85706741275,4263043.728999999,251.33011202042042
362,335356.1284647832,4263043.71,253.57194033543533
363,335356.3998843927,4263043.691000001,255.81376865045036
364,335356.67147615424,4263043.672,258.0555969654654
365,335356.9427695216,4263043.653,260.2974252804804
366,335357.22421861417,4263043.633,262.53925359549544
367,335357.50787622796,4263043.613,264.78108191051047
368,335357.79178208276,4263043.593490833,267.0229102255255
369,335358.0753224906,4263043.573282144,269.2647385405405
370,335358.3589247515,4263043.553074257,271.50656685555555
371,335358.6424439266,4263043.533866043,273.74839517057046
372,335358.9259699511,4263043.5139999995,275.9902234855855
373,335359.2095966006,4263043.494,278.2320518006005
374,335359.49161909486,4263043.485752984,280.47388011561554
375,335359.76830403344,4263043.516949836,282.71570843063057
376,335360.0453311976,4263043.5481455,284.9575367456456
377,335360.3226113566,4263043.5793070095,287.1993650606606
378,335360.5994360523,4263043.610548484,289.44119337567565
379,335360.8572339722,4263043.6659574285,291.6830216906907
380,335361.10558293643,4263043.733691675,293.9248500057056
381,335361.3539259007,4263043.800969126,296.1666783207206
382,335361.6023163875,4263043.868298494,298.40850663573565
383,335361.85070543905,4263043.936272109,300.6503349507507
384,335362.0989909439,4263044.004111698,302.8921632657657
385,335362.34721359063,4263044.071558072,305.13399158078073
386,335362.5957106155,4263044.138798084,307.37581989579576
387,335362.8438751475,4263044.206844367,309.6176482108108
388,335363.0922317339,4263044.273984485,311.8594765258258
389,335363.3405079241,4263044.3422621945,314.1013048408407
390,335363.5890876409,4263044.40984382,316.34313315585575
391,335363.83719372243,4263044.4774139095,318.5849614708708
392,335364.08551152877,4263044.545115381,320.8267897858858
393,335364.3338164478,4263044.612701217,323.06861810090084
394,335364.58232542017,4263044.68032542,325.31044641591586
395,335364.8305234133,4263044.747985817,327.5522747309309
396,335365.0787995768,4263044.815259103,329.7941030459459
397,335365.3271731447,4263044.883272804,332.03593136096094
398,335365.575316838,4263044.951253827,334.27775967597586
399,335365.8238480988,4263045.018465477,336.5195879909909
400,335366.0721205359,4263045.085775112,338.7614163060059
401,335366.3204536818,4263045.153843274,341.00324462102094
402,335366.5687256337,4263045.221,343.24507293603597
403,335366.8171430905,4263045.289218556,345.486901251051
404,335367.06543484115,4263045.35654145,347.728729566066
405,335367.31392601837,4263045.424808673,349.97055788108105
406,335367.5620651091,4263045.492006167,352.2123861960961
407,335367.8103846427,4263045.55970086,354.454214511111
408,335368.0587424139,4263045.627682376,356.696042826126
409,335368.307015034,4263045.69497501,358.93787114114104
410,335368.555235586,4263045.763007263,361.1796994561561
411,335368.80359189364,4263045.830556758,363.4215277711711
412,335369.05203261774,4263045.897826895,365.6633560861861
413,335369.3003447123,4263045.965555606,367.90518440120115
414,335369.5486704122,4263046.033396449,370.1470127162162
415,335369.79695381416,4263046.101,372.3888410312312
416,335370.0251869072,4263046.162945361,374.6306693462461
417,335370.21666765964,4263046.213969923,376.87249766126115
418,335370.40818470385,4263046.264993627,379.1143259762762
419,335370.59969350783,4263046.316000001,381.3561542912912
420,335370.790720712,4263046.367,383.59798260630623
421,335370.9822320214,4263046.417150918,385.83981092132126
422,335371.17375010904,4263046.469102297,388.0816392363363
423,335371.36524925486,4263046.520156929,390.3234675513513
424,335371.5564816695,4263046.571,392.56529586636634
425,335371.74792846205,4263046.621376574,394.80712418138137
426,335371.9393554621,4263046.672611045,397.0489524963963
427,335372.13092452165,4263046.723232846,399.2907808114113
428,335372.3220018317,4263046.774179957,401.53260912642634
429,335372.5135473278,4263046.825345469,403.77443744144136
430,335372.70495042304,4263046.876397183,406.0162657564564
431,335372.896491585,4263046.927338997,408.2580940714714
432,335373.0878279799,4263046.978366149,410.49992238648645
433,335373.27925251354,4263047.029226257,412.7417507015015
434,335373.4705918858,4263047.080416718,414.9835790165165
435,335373.66215266124,4263047.131443786,417.2254073315314
436,335373.85343507404,4263047.182470532,419.46723564654644
437,335374.04504002316,4263047.23385001,421.70906396156147
438,335374.23619791266,4263047.284522253,423.9508922765765
439,335374.4277170892,4263047.335549339,426.1927205915915
440,335374.61915154586,4263047.386426926,428.43454890660655
441,335374.8105951009,4263047.437260579,430.6763772216216
442,335375.00176891906,4263047.4886293,432.9182055366366
443,335375.19328831503,4263047.539656435,435.16003385165163
444,335375.38469157356,4263047.59,437.40186216666655
445,335375.57603533554,4263047.64155639,439.6436904816816
446,335375.7674357028,4263047.692470774,441.8855187966966
447,335375.95893068786,4263047.743694482,444.12734711171163
448,335376.15046541556,4263047.793787594,446.36917542672666
449,335376.3416094981,4263047.844761896,448.6110037417417
450,335376.53323972895,4263047.8958819825,450.8528320567567
451,335376.72449788556,4263047.947,453.09466037177174
452,335376.9160277726,4263047.997892675,455.33648868678677
453,335377.1075532228,4263048.048911083,457.5783170018017
454,335377.29863785213,4263048.1,459.8201453168167
455,335377.4900754651,4263048.150971697,462.06197363183173
456,335377.68159455206,4263048.201998762,464.30380194684676
457,335377.87310333835,4263048.253025835,466.5456302618618
458,335378.06422254676,4263048.304050579,468.7874585768768
459,335378.2134523966,4263048.353052396,471.02928689189184
460,335378.30645025516,4263048.398921187,473.27111520690687
461,335378.39908861957,4263048.445792413,475.5129435219219
462,335378.49203043315,4263048.491330434,477.7547718369369
463,335378.58499316033,4263048.53762215,479.99660015195195
464,335378.6777922112,4263048.583522216,482.238428466967
465,335378.7707173123,4263048.629717312,484.480256781982
466,335378.8634930921,4263048.676,486.72208509699703
467,335378.95651920245,4263048.722220633,488.96391341201183
468,335379.04934057896,4263048.76802029,491.20574172702686
469,335379.1421405689,4263048.814021352,493.4475700420419
470,335379.23523907905,4263048.86091954,495.6893983570569
471,335379.3278651002,4263048.9065302005,497.93122667207194
472,335379.4208402279,4263048.952720114,500.17305498708697
473,335379.5135603042,4263048.999,502.414883302102
474,335379.60662530013,4263049.045446643,504.656711617117
475,335379.69954048237,4263049.091420242,506.89853993213205
476,335379.79226422874,4263049.137318429,509.1403682471471
477,335379.8850986779,4263049.183597355,511.3821965621621
